,Assay_name,Assay_type,Description,l1,l2,l3,l4,Source,Note
355,T10394,BioChemical,Small conductance calcium-activated potassium channel protein 2,Ion channel,Voltage-gated ion channel,Potassium channels,Calcium-activated potassium channel,Chembl,ion channel  vgc  k  ca act k
356,T10396,BioChemical,CaM kinase II beta,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,Chembl,enzyme  kinase  protein kinase  camk  camk2
357,T10397,BioChemical,Voltage-gated potassium channel subunit Kv7.2,Ion channel,Voltage-gated ion channel,Potassium channels,Voltage-gated potassium channel,Chembl,ion channel  vgc  k  vg k
358,T10410,BioChemical,P2X purinoceptor 4,Ion channel,Ligand-gated ion channel,P2X receptor,,Chembl,ion channel  lgic  p2x
359,T10417,BioChemical,P2X purinoceptor 7,Ion channel,Ligand-gated ion channel,P2X receptor,,Chembl,ion channel  lgic  p2x
360,T10420,BioChemical,Protein phosphatase 2C beta,Enzyme,Phosphatase,Protein Phosphatase,Serine/threonine protein phosphatase,Chembl,enzyme  phosphatase  protein phosphatase  ser_thr
361,T10424,BioChemical,Protein phosphatase 2A regulatory subunit B',Enzyme,Phosphatase,Protein Phosphatase,Protein phosphatase regulatory subunit,Chembl,enzyme  phosphatase  protein phosphatase  reg
362,T10427,BioChemical,PI3-kinase p85-alpha subunit,Enzyme,,,,Chembl,enzyme
363,T10429,BioChemical,"Glutamate receptor ionotropic, AMPA 3",Ion channel,Ligand-gated ion channel,Ionotropic glutamate receptor,AMPA receptor,Chembl,ion channel  lgic  glut  ampa
364,T10432,BioChemical,Fructose-bisphosphate aldolase A,Enzyme,,,,Chembl,enzyme
365,T10434,BioChemical,Tyrosine-protein kinase SRC,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Chembl,enzyme  kinase  protein kinase  tk  src
366,T10472,BioChemical,Cholecystokinin A receptor,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Short peptide receptor (family A GPCR),Chembl,membrane receptor  7tm1  peptide  short peptide  cholecystokinin receptor
367,T10473,BioChemical,C-X-C chemokine receptor type 4,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Chemokine receptor,Chembl,membrane receptor  7tm1  peptide  chemokine receptor  cxc chemokine receptor
368,T10474,BioChemical,Cyclin T1,Other cytosolic protein,,,,Chembl,cytosolic other
369,T10475,BioChemical,Neuropeptide Y receptor type 1,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Short peptide receptor (family A GPCR),Chembl,membrane receptor  7tm1  peptide  short peptide  neuropeptide y receptor
370,T10476,BioChemical,T-cell surface antigen CD4,Surface antigen,,,,Chembl,surface antigen
371,T10477,BioChemical,Neuropeptide Y receptor type 2,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Short peptide receptor (family A GPCR),Chembl,membrane receptor  7tm1  peptide  short peptide  neuropeptide y receptor
372,T10478,BioChemical,Dual specificity mitogen-activated protein kinase kinase 3,Enzyme,Kinase,Protein Kinase,STE protein kinase group,Chembl,enzyme  kinase  protein kinase  ste  ste7
373,T10480,BioChemical,Cyclin-dependent kinase 6,Enzyme,Kinase,Protein Kinase,CMGC protein kinase group,Chembl,enzyme  kinase  protein kinase  cmgc
374,T10486,BioChemical,Neurotensin receptor 2,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Short peptide receptor (family A GPCR),Chembl,membrane receptor  7tm1  peptide  short peptide  neurotensin receptor
375,T10493,BioChemical,Cathepsin F,Enzyme,Protease,Cysteine protease,Cysteine protease CA clan,Chembl,enzyme  protease  cysteine  ca  c1a
376,T10494,BioChemical,Cathepsin G,Enzyme,Protease,Serine protease,Serine protease PA clan,Chembl,enzyme  protease  serine  pas  s1a
377,T10495,BioChemical,Cathepsin K,Enzyme,Protease,Cysteine protease,Cysteine protease CA clan,Chembl,enzyme  protease  cysteine  ca  c1a
378,T10498,BioChemical,Cathepsin L,Enzyme,Protease,Cysteine protease,Cysteine protease CA clan,Chembl,enzyme  protease  cysteine  ca  c1a
379,T10503,BioChemical,Corticosteroid binding globulin,Secreted protein,,,,Chembl,secreted
380,T10505,BioChemical,Carboxypeptidase A1,Enzyme,Protease,Metallo protease,Metallo protease MC clan,Chembl,enzyme  protease  metallo  mc  m14a
381,T10506,BioChemical,Carboxypeptidase M,Enzyme,Protease,Metallo protease,Metallo protease MC clan,Chembl,enzyme  protease  metallo  mc  m14b
382,T10509,BioChemical,CDC45-related protein,Other nuclear protein,,,,Chembl,nuclear other
383,T10509,BioChemical,CDC45-related protein,Other cytosolic protein,,,,Chembl,cytosolic other
384,T10511,BioChemical,Voltage-gated N-type calcium channel alpha-1B subunit,Ion channel,Voltage-gated ion channel,Voltage-gated calcium channel,,Chembl,ion channel  vgc  vg ca
385,T10517,BioChemical,Cholesteryl ester transfer protein,Ion channel,Other ion channel,Pore-forming toxins (proteins and peptides),,Chembl,ion channel  other  toxin
386,T10520,BioChemical,G2/mitotic-specific cyclin B1,Other cytosolic protein,,,,Chembl,cytosolic other
387,T10522,BioChemical,G1/S-specific cyclin D1,Other cytosolic protein,,,,Chembl,cytosolic other
388,T10531,BioChemical,Serine/threonine-protein kinase Chk2,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,Chembl,enzyme  kinase  protein kinase  camk  rad53
389,T10532,BioChemical,Butyrylcholinesterase,Enzyme,Hydrolase,,,Chembl,enzyme  hydrolase
390,T10535,BioChemical,P2X purinoceptor 1,Ion channel,Ligand-gated ion channel,P2X receptor,,Chembl,ion channel  lgic  p2x
391,T10537,BioChemical,P2X purinoceptor 2,Ion channel,Ligand-gated ion channel,P2X receptor,,Chembl,ion channel  lgic  p2x
392,T10541,BioChemical,Pyrimidinergic receptor P2Y4,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Nucleotide-like receptor (family A GPCR),Chembl,membrane receptor  7tm1  smallmol  nucleotide-like receptor  purine receptor
393,T10542,BioChemical,Leukotriene B4 receptor 1,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Lipid-like ligand receptor (family A GPCR),Chembl,membrane receptor  7tm1  smallmol  lipid-like ligand receptor  leukotriene receptor
394,T10544,BioChemical,Purinergic receptor P2Y1,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Nucleotide-like receptor (family A GPCR),Chembl,membrane receptor  7tm1  smallmol  nucleotide-like receptor  purine receptor
395,T10547,BioChemical,C-C chemokine receptor type 1,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Chemokine receptor,Chembl,membrane receptor  7tm1  peptide  chemokine receptor  cc chemokine receptor
396,T10548,BioChemical,C-C chemokine receptor type 3,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Chemokine receptor,Chembl,membrane receptor  7tm1  peptide  chemokine receptor  cc chemokine receptor
397,T10552,BioChemical,Voltage-gated potassium channel subunit Kv1.2,Ion channel,Voltage-gated ion channel,Potassium channels,Voltage-gated potassium channel,Chembl,ion channel  vgc  k  vg k
398,T10553,BioChemical,Voltage-gated potassium channel subunit Kv1.3,Ion channel,Voltage-gated ion channel,Potassium channels,Voltage-gated potassium channel,Chembl,ion channel  vgc  k  vg k
399,T10561,BioChemical,Oligopeptide transporter small intestine isoform,Transporter,Electrochemical transporter,SLC superfamily of solute carriers,SLC15 family of peptide transporters,Chembl,transporter  electrochemical  slc  slc15
400,T10563,BioChemical,Protein phosphatase 2C alpha,Enzyme,Phosphatase,Protein Phosphatase,Serine/threonine protein phosphatase,Chembl,enzyme  phosphatase  protein phosphatase  ser_thr
401,T10566,BioChemical,Eosinophil peroxidase,Enzyme,,,,Chembl,enzyme
402,T10567,BioChemical,Myeloperoxidase,Enzyme,,,,Chembl,enzyme
403,T10569,BioChemical,Protein farnesyltransferase/geranylgeranyltransferase type I alpha subunit,Enzyme,,,,Chembl,enzyme
404,T10572,BioChemical,Protein farnesyltransferase beta subunit,Enzyme,,,,Chembl,enzyme
405,T10579,BioChemical,C-C chemokine receptor type 4,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Chemokine receptor,Chembl,membrane receptor  7tm1  peptide  chemokine receptor  cc chemokine receptor
406,T10580,BioChemical,C-C chemokine receptor type 5,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Chemokine receptor,Chembl,membrane receptor  7tm1  peptide  chemokine receptor  cc chemokine receptor
407,T10582,BioChemical,Cytosolic phospholipase A2,Enzyme,,,,Chembl,enzyme
408,T10583,BioChemical,Phosphodiesterase 1B,Enzyme,Phosphodiesterase,Phosphodiesterase 1,Phosphodiesterase 1B,Chembl,enzyme  phosphodiesterase  pde_1  pde_1b
409,T10584,BioChemical,Phospholipase A2 group IIA,Enzyme,,,,Chembl,enzyme
410,T10585,BioChemical,Group IIE secretory phospholipase A2,Enzyme,,,,Chembl,enzyme
411,T10588,BioChemical,Plasminogen activator inhibitor-1,Secreted protein,,,,Chembl,secreted
412,T10594,BioChemical,Phosphodiesterase 2A,Enzyme,Phosphodiesterase,Phosphodiesterase 2,Phosphodiesterase 2A,Chembl,enzyme  phosphodiesterase  pde_2  pde_2a
413,T10599,BioChemical,Phosphodiesterase 4B,Enzyme,Phosphodiesterase,Phosphodiesterase 4,Phosphodiesterase 4B,Chembl,enzyme  phosphodiesterase  pde_4  pde_4b
414,T10605,BioChemical,Phosphodiesterase 6D,Enzyme,Phosphodiesterase,Phosphodiesterase 6,Phosphodiesterase 6D,Chembl,enzyme  phosphodiesterase  pde_6  pde_6d
415,T10608,BioChemical,Acetyl-CoA carboxylase 2,Enzyme,,,,Chembl,enzyme
416,T10612,BioChemical,3-phosphoinositide dependent protein kinase-1,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,Chembl,enzyme  kinase  protein kinase  agc  pdk1
417,T10618,BioChemical,Serotonin 1e (5-HT1e) receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Monoamine receptor,Chembl,membrane receptor  7tm1  smallmol  monoamine receptor  serotonin receptor
418,T10624,BioChemical,Serotonin 5a (5-HT5a) receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Monoamine receptor,Chembl,membrane receptor  7tm1  smallmol  monoamine receptor  serotonin receptor
419,T10627,BioChemical,Serotonin 6 (5-HT6) receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Monoamine receptor,Chembl,membrane receptor  7tm1  smallmol  monoamine receptor  serotonin receptor
420,T10635,BioChemical,Neuronal acetylcholine receptor protein alpha-7 subunit,Ion channel,Ligand-gated ion channel,Nicotinic acetylcholine receptor,Nicotinic acetylcholine receptor alpha subunit,Chembl,ion channel  lgic  ach  chrn alpha
421,T10636,BioChemical,Neuronal acetylcholine receptor protein alpha-9 subunit,Ion channel,Ligand-gated ion channel,Nicotinic acetylcholine receptor,Nicotinic acetylcholine receptor alpha subunit,Chembl,ion channel  lgic  ach  chrn alpha
422,T10639,BioChemical,Acetylcholine receptor protein epsilon chain,Ion channel,Ligand-gated ion channel,Nicotinic acetylcholine receptor,Nicotinic acetylcholine receptor epsilon subunit,Chembl,ion channel  lgic  ach  chrn epsilon
423,T10642,BioChemical,Neuronal acetylcholine receptor protein beta-2 subunit,Ion channel,Ligand-gated ion channel,Nicotinic acetylcholine receptor,Nicotinic acetylcholine receptor beta subunit,Chembl,ion channel  lgic  ach  chrn beta
424,T10653,BioChemical,Proteinase-activated receptor 1,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Protease-activated receptor,Chembl,membrane receptor  7tm1  peptide  protease-activated receptor  protease-activated receptor
425,T10656,BioChemical,Beta amyloid A4 protein,Membrane receptor,,,,Chembl,membrane receptor
426,T10659,BioChemical,"AMP-activated protein kinase, alpha-2 subunit",Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,Chembl,enzyme  kinase  protein kinase  camk  camkl  ampk
427,T10664,BioChemical,Diamine oxidase,Enzyme,,,,Chembl,enzyme
428,T10670,BioChemical,Neuronal acetylcholine receptor protein alpha-4 subunit,Ion channel,Ligand-gated ion channel,Nicotinic acetylcholine receptor,Nicotinic acetylcholine receptor alpha subunit,Chembl,ion channel  lgic  ach  chrn alpha
429,T10674,BioChemical,Beta secretase 2,Enzyme,Protease,Aspartic protease,Aspartic protease AA clan,Chembl,enzyme  protease  aspartic  aa  a1a
430,T10675,BioChemical,Beta-galactosidase,Enzyme,,,,Chembl,enzyme
431,T10678,BioChemical,Sialidase 2,Enzyme,,,,Chembl,enzyme
432,T10679,BioChemical,Bombesin receptor subtype-3,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Short peptide receptor (family A GPCR),Chembl,membrane receptor  7tm1  peptide  short peptide  grp-related receptor
433,T10683,BioChemical,Nicastrin,Enzyme,Protease,Aspartic protease,Aspartic protease AD clan,Chembl,enzyme  protease  aspartic  ad  a22a  reg
434,T10684,BioChemical,Complement C1s,Enzyme,Protease,Serine protease,Serine protease PA clan,Chembl,enzyme  protease  serine  pas  s1a
435,T10691,BioChemical,Alcohol dehydrogenase class IV,Enzyme,,,,Chembl,enzyme
436,T10692,BioChemical,Angiotensin II type 2 (AT-2) receptor,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Short peptide receptor (family A GPCR),Chembl,membrane receptor  7tm1  peptide  short peptide  angiotensin receptor
437,T10693,BioChemical,Alpha-galactosidase A,Enzyme,,,,Chembl,enzyme
438,T10694,BioChemical,Aryl hydrocarbon receptor,Transcription factor,,,,Chembl,transcription factor
439,T10695,BioChemical,Serine/threonine-protein kinase AKT2,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,Chembl,enzyme  kinase  protein kinase  agc  akt
440,T10696,BioChemical,Serine/threonine-protein kinase AKT3,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,Chembl,enzyme  kinase  protein kinase  agc  akt
441,T10697,BioChemical,Serum albumin,Secreted protein,,,,Chembl,secreted
442,T10702,BioChemical,Methionine aminopeptidase 2,Enzyme,Protease,Metallo protease,Metallo protease MG clan,Chembl,enzyme  protease  metallo  mg  m24a
443,T10703,BioChemical,Aminopeptidase B,Enzyme,Protease,Metallo protease,Metallo protease MAE clan,Chembl,enzyme  protease  metallo  mae  m1
444,T10705,BioChemical,Pancreatic alpha-amylase,Enzyme,Hydrolase,,,Chembl,enzyme  hydrolase
445,T10706,BioChemical,Salivary alpha-amylase,Enzyme,,,,Chembl,enzyme
446,T10711,BioChemical,G-protein coupled receptor kinase 2,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,Chembl,enzyme  kinase  protein kinase  agc  grk  bark
447,T10712,BioChemical,Cerebroside-sulfatase,Enzyme,,,,Chembl,enzyme
448,T10713,BioChemical,N-acetylgalactosamine-4-sulfatase,Enzyme,,,,Chembl,enzyme
449,T10714,BioChemical,Arylamine N-acetyltransferase 2,Enzyme,,,,Chembl,enzyme
450,T10717,BioChemical,Activating transcription factor 1,Transcription factor,,,,Chembl,transcription factor
451,T10725,BioChemical,Tyrosine aminotransferase,Enzyme,,,,Chembl,enzyme
452,T10730,BioChemical,Prohormone convertase 2,Enzyme,Protease,Serine protease,Serine protease SB clan,Chembl,enzyme  protease  serine  sb  s8b
453,T10732,BioChemical,AICAR transformylase,Enzyme,,,,Chembl,enzyme
454,T10733,BioChemical,Beta-glucocerebrosidase,Enzyme,,,,Chembl,enzyme
455,T10734,BioChemical,Neutral alpha-glucosidase AB,Enzyme,,,,Chembl,enzyme
456,T10736,BioChemical,Neutral alpha-glucosidase C,Enzyme,,,,Chembl,enzyme
457,T10742,BioChemical,Geranylgeranyl transferase type I beta subunit,Enzyme,,,,Chembl,enzyme
458,T10743,BioChemical,Cytochrome P450 4F2,Enzyme,Cytochrome P450,Cytochrome P450 family 4,Cytochrome P450 family 4F,Chembl,enzyme  cytochrome p450  cyp_4  cyp_4f  cyp_4f2
459,T10744,BioChemical,Phenylalanine-4-hydroxylase,Enzyme,Oxidoreductase,,,Chembl,enzyme  reductase
460,T10748,BioChemical,Thiamine transporter 1,Transporter,Electrochemical transporter,SLC superfamily of solute carriers,SLC19 family of vitamin transporters,Chembl,transporter  electrochemical  slc  slc19
461,T10751,BioChemical,Inhibitor of nuclear factor kappa B kinase alpha subunit,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Chembl,enzyme  kinase  protein kinase  other
462,T10752,BioChemical,Inhibitor of nuclear factor kappa B kinase beta subunit,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Chembl,enzyme  kinase  protein kinase  other
463,T10754,BioChemical,Chitinase 1,Enzyme,,,,Chembl,enzyme
464,T10756,BioChemical,Protein-tyrosine phosphatase G1,Enzyme,Phosphatase,Protein Phosphatase,Tyrosine protein phosphatase,Chembl,enzyme  phosphatase  protein phosphatase  tyr
465,T10765,BioChemical,Carnitine palmitoyltransferase 2,Enzyme,,,,Chembl,enzyme
466,T10768,BioChemical,Brain glycogen phosphorylase,Enzyme,,,,Chembl,enzyme
467,T10769,BioChemical,Transketolase,Enzyme,,,,Chembl,enzyme
468,T10770,BioChemical,Interleukin-2 receptor beta chain,Membrane receptor,,,,Chembl,membrane receptor
469,T10773,BioChemical,Interleukin-8 receptor B,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Chemokine receptor,Chembl,membrane receptor  7tm1  peptide  chemokine receptor  cxc chemokine receptor
470,T10775,BioChemical,Fucosyltransferase 9,Enzyme,,,,Chembl,enzyme
471,T10777,BioChemical,Uracil-DNA glycosylase,Enzyme,,,,Chembl,enzyme
472,T10778,BioChemical,Death-associated protein kinase 2,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,Chembl,enzyme  kinase  protein kinase  camk  dapk
473,T10780,BioChemical,Lysosomal phospholipase A2,Enzyme,,,,Chembl,enzyme
474,T10781,BioChemical,Serine/threonine-protein kinase Aurora-B,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Chembl,enzyme  kinase  protein kinase  other  aur
475,T10782,BioChemical,Ribosomal protein S6 kinase alpha 4,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,Chembl,enzyme  kinase  protein kinase  agc  rsk  msk
476,T10782,BioChemical,Ribosomal protein S6 kinase alpha 4,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,Chembl,enzyme  kinase  protein kinase  camk  rskb  mskb
477,T10785,BioChemical,C3a anaphylatoxin chemotactic receptor,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Anaphylatoxin receptor family,Chembl,membrane receptor  7tm1  peptide  anaphylatoxin receptor  anaphylatoxin
478,T10788,BioChemical,Tubulin beta-5 chain,Structural protein,,,,Chembl,structural
479,T10794,BioChemical,Porphobilinogen synthase,Enzyme,,,,Chembl,enzyme
480,T10797,BioChemical,Corticotropin releasing factor receptor 2,Membrane receptor,Family B G protein-coupled receptor,Peptide receptor (family B GPCR),Corticotropin releasing factor receptor,Chembl,membrane receptor  7tm2  peptide  corticotropin releasing factor receptor  corticotropin releasing factor receptor
481,T10799,BioChemical,Phospholipase C-delta-1,Enzyme,,,,Chembl,enzyme
482,T10804,BioChemical,HLA class I histocompatibility antigen A-3,Surface antigen,,,,Chembl,surface antigen
483,T10805,BioChemical,Low affinity neurotrophin receptor p75NTR,Membrane receptor,,,,Chembl,membrane receptor
484,T10806,BioChemical,Tumor necrosis factor receptor R1,Membrane receptor,,,,Chembl,membrane receptor
485,T10808,BioChemical,Lysophosphatidic acid receptor Edg-2,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Lipid-like ligand receptor (family A GPCR),Chembl,membrane receptor  7tm1  smallmol  lipid-like ligand receptor  edg receptor
486,T10809,BioChemical,Sphingosine 1-phosphate receptor Edg-6,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Lipid-like ligand receptor (family A GPCR),Chembl,membrane receptor  7tm1  smallmol  lipid-like ligand receptor  edg receptor
487,T10810,BioChemical,Protein tyrosine phosphatase receptor type C-associated protein,Enzyme,,,,Chembl,enzyme
488,T10811,BioChemical,Rho-associated protein kinase 1,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,Chembl,enzyme  kinase  protein kinase  agc  dmpk  rock
489,T10814,BioChemical,Lysophosphatidic acid receptor Edg-4,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Lipid-like ligand receptor (family A GPCR),Chembl,membrane receptor  7tm1  smallmol  lipid-like ligand receptor  edg receptor
490,T10818,BioChemical,Voltage-gated L-type calcium channel alpha-1S subunit,Ion channel,Voltage-gated ion channel,Voltage-gated calcium channel,,Chembl,ion channel  vgc  vg ca
491,T10819,BioChemical,Acetylcholine receptor protein alpha chain,Ion channel,Ligand-gated ion channel,Nicotinic acetylcholine receptor,Nicotinic acetylcholine receptor alpha subunit,Chembl,ion channel  lgic  ach  chrn alpha
492,T10824,BioChemical,Prostatic acid phosphatase,Enzyme,,,,Chembl,enzyme
493,T10827,BioChemical,Trehalase,Enzyme,,,,Chembl,enzyme
494,T10832,BioChemical,Terminal deoxynucleotidyltransferase,Enzyme,,,,Chembl,enzyme
495,T10834,BioChemical,Uridine phosphorylase 1,Enzyme,,,,Chembl,enzyme
496,T10836,BioChemical,Kallikrein 8,Enzyme,Protease,Serine protease,Serine protease PA clan,Chembl,enzyme  protease  serine  pas  s1a
497,T10839,BioChemical,Serine/threonine-protein kinase PIM1,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,Chembl,enzyme  kinase  protein kinase  camk  pim
498,T10842,BioChemical,Protein kinase N2,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,Chembl,enzyme  kinase  protein kinase  agc  pkn
499,T10844,BioChemical,Tyrosine-protein kinase CSK,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Chembl,enzyme  kinase  protein kinase  tk  csk
500,T10845,BioChemical,Phospholipase D1,Enzyme,,,,Chembl,enzyme
501,T10849,BioChemical,Tyrosine-protein kinase JAK3,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Chembl,enzyme  kinase  protein kinase  tk  jaka
502,T10849,BioChemical,Tyrosine-protein kinase JAK3,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Chembl,enzyme  kinase  protein kinase  tk  jakb
503,T10850,BioChemical,Ribosomal protein S6 kinase alpha 5,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,Chembl,enzyme  kinase  protein kinase  agc  rsk  msk
504,T10850,BioChemical,Ribosomal protein S6 kinase alpha 5,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,Chembl,enzyme  kinase  protein kinase  camk  rskb  mskb
505,T10851,BioChemical,Phenylalanyl-tRNA synthetase mitochondrial,Enzyme,,,,Chembl,enzyme
506,T10853,BioChemical,Kallikrein 13,Enzyme,Protease,Serine protease,Serine protease PA clan,Chembl,enzyme  protease  serine  pas  s1a
507,T10854,BioChemical,Kallikrein 14,Enzyme,Protease,Serine protease,Serine protease PA clan,Chembl,enzyme  protease  serine  pas  s1a
508,T10857,BioChemical,Hypoxia-inducible factor prolyl hydroxylase 1,Enzyme,,,,Chembl,enzyme
509,T10866,BioChemical,Serotransferrin,Secreted protein,,,,Chembl,secreted
510,T10868,BioChemical,Leukotriene B4 receptor 2,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Lipid-like ligand receptor (family A GPCR),Chembl,membrane receptor  7tm1  smallmol  lipid-like ligand receptor  leukotriene receptor
511,T10869,BioChemical,Histone deacetylase 8,Epigenetic regulator,Eraser,Histone deacetylase,HDAC class I,Chembl,epigenetic regulator  eraser  hdac  hdac class i
512,T10870,BioChemical,Glutathione S-transferase A3,Enzyme,,,,Chembl,enzyme
513,T10871,BioChemical,Purinergic receptor P2Y11,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Nucleotide-like receptor (family A GPCR),Chembl,membrane receptor  7tm1  smallmol  nucleotide-like receptor  purine receptor
514,T10878,BioChemical,Protein kinase C epsilon,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,Chembl,enzyme  kinase  protein kinase  agc  pkc  eta
515,T10880,BioChemical,Protein kinase C gamma,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,Chembl,enzyme  kinase  protein kinase  agc  pkc  alpha
516,T10885,BioChemical,Protein kinase C nu,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,Chembl,enzyme  kinase  protein kinase  camk  pkd
517,T10887,BioChemical,Prion protein,Surface antigen,,,,Chembl,surface antigen
518,T10891,BioChemical,"Potassium channel, inwardly rectifying, subfamily J, member 8",Ion channel,Voltage-gated ion channel,Potassium channels,Inwardly rectifying potassium channel,Chembl,ion channel  vgc  k  kir
519,T10892,BioChemical,Integrin alpha-4,Membrane receptor,,,,Chembl,membrane receptor
520,T10893,BioChemical,Tubulin beta-3 chain,Structural protein,,,,Chembl,structural
521,T10895,BioChemical,Adenylate cyclase type IX,Enzyme,,,,Chembl,enzyme
522,T10899,BioChemical,Pyruvate dehydrogenase kinase isoform 2,Enzyme,Kinase,Protein Kinase,Atypical protein kinase group,Chembl,enzyme  kinase  protein kinase  atypical  pdhk
523,T10900,BioChemical,Sphingosine kinase 2,Enzyme,,,,Chembl,enzyme
524,T10901,BioChemical,Protein kinase C iota,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,Chembl,enzyme  kinase  protein kinase  agc  pkc  iota
525,T10903,BioChemical,Protein kinase C mu,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,Chembl,enzyme  kinase  protein kinase  camk  pkd
526,T10904,BioChemical,Serine/threonine-protein kinase RAF,Enzyme,Kinase,Protein Kinase,TKL protein kinase group,Chembl,enzyme  kinase  protein kinase  tkl  raf
527,T10906,BioChemical,Tyrosine-protein kinase SYK,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Chembl,enzyme  kinase  protein kinase  tk  syk
528,T10907,BioChemical,Serine/threonine-protein kinase PLK1,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Chembl,enzyme  kinase  protein kinase  other  plk
529,T10909,BioChemical,Beta-chymotrypsin,Enzyme,Protease,Serine protease,Serine protease PA clan,Chembl,enzyme  protease  serine  pas  s1a
530,T10910,BioChemical,Chymotrypsin-like protease CTRL-1,Enzyme,Protease,Serine protease,Serine protease PA clan,Chembl,enzyme  protease  serine  pas  s1a
531,T10911,BioChemical,Phenylethanolamine N-methyltransferase,Enzyme,,,,Chembl,enzyme
532,T10913,BioChemical,Adenylosuccinate synthetase 2,Enzyme,,,,Chembl,enzyme
533,T10917,BioChemical,Integrin beta-7,Membrane receptor,,,,Chembl,membrane receptor
534,T10918,BioChemical,Tyrosine-protein kinase ITK/TSK,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Chembl,enzyme  kinase  protein kinase  tk  tec
535,T10919,BioChemical,Tyrosine-protein kinase JAK1,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Chembl,enzyme  kinase  protein kinase  tk  jaka
536,T10919,BioChemical,Tyrosine-protein kinase JAK1,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Chembl,enzyme  kinase  protein kinase  tk  jakb
537,T10925,BioChemical,Kynureninase,Enzyme,,,,Chembl,enzyme
538,T10926,BioChemical,Carboxypeptidase B,Enzyme,Protease,Metallo protease,Metallo protease MC clan,Chembl,enzyme  protease  metallo  mc  m14a
539,T10927,BioChemical,Urotensin II receptor,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Short peptide receptor (family A GPCR),Chembl,membrane receptor  7tm1  peptide  short peptide  neuropeptide receptor
